"Label (Grouping)","Iowa!!Occupied housing units!!Estimate","Iowa!!Occupied housing units!!Margin of Error","Iowa!!Percent occupied housing units!!Estimate","Iowa!!Percent occupied housing units!!Margin of Error","Iowa!!Owner-occupied housing units!!Estimate","Iowa!!Owner-occupied housing units!!Margin of Error","Iowa!!Percent owner-occupied housing units!!Estimate","Iowa!!Percent owner-occupied housing units!!Margin of Error","Iowa!!Renter-occupied housing units!!Estimate","Iowa!!Renter-occupied housing units!!Margin of Error","Iowa!!Percent renter-occupied housing units!!Estimate","Iowa!!Percent renter-occupied housing units!!Margin of Error","Minnesota!!Occupied housing units!!Estimate","Minnesota!!Occupied housing units!!Margin of Error","Minnesota!!Percent occupied housing units!!Estimate","Minnesota!!Percent occupied housing units!!Margin of Error","Minnesota!!Owner-occupied housing units!!Estimate","Minnesota!!Owner-occupied housing units!!Margin of Error","Minnesota!!Percent owner-occupied housing units!!Estimate","Minnesota!!Percent owner-occupied housing units!!Margin of Error","Minnesota!!Renter-occupied housing units!!Estimate","Minnesota!!Renter-occupied housing units!!Margin of Error","Minnesota!!Percent renter-occupied housing units!!Estimate","Minnesota!!Percent renter-occupied housing units!!Margin of Error","Nebraska!!Occupied housing units!!Estimate","Nebraska!!Occupied housing units!!Margin of Error","Nebraska!!Percent occupied housing units!!Estimate","Nebraska!!Percent occupied housing units!!Margin of Error","Nebraska!!Owner-occupied housing units!!Estimate","Nebraska!!Owner-occupied housing units!!Margin of Error","Nebraska!!Percent owner-occupied housing units!!Estimate","Nebraska!!Percent owner-occupied housing units!!Margin of Error","Nebraska!!Renter-occupied housing units!!Estimate","Nebraska!!Renter-occupied housing units!!Margin of Error","Nebraska!!Percent renter-occupied housing units!!Estimate","Nebraska!!Percent renter-occupied housing units!!Margin of Error","North Dakota!!Occupied housing units!!Estimate","North Dakota!!Occupied housing units!!Margin of Error","North Dakota!!Percent occupied housing units!!Estimate","North Dakota!!Percent occupied housing units!!Margin of Error","North Dakota!!Owner-occupied housing units!!Estimate","North Dakota!!Owner-occupied housing units!!Margin of Error","North Dakota!!Percent owner-occupied housing units!!Estimate","North Dakota!!Percent owner-occupied housing units!!Margin of Error","North Dakota!!Renter-occupied housing units!!Estimate","North Dakota!!Renter-occupied housing units!!Margin of Error","North Dakota!!Percent renter-occupied housing units!!Estimate","North Dakota!!Percent renter-occupied housing units!!Margin of Error","South Dakota!!Occupied housing units!!Estimate","South Dakota!!Occupied housing units!!Margin of Error","South Dakota!!Percent occupied housing units!!Estimate","South Dakota!!Percent occupied housing units!!Margin of Error","South Dakota!!Owner-occupied housing units!!Estimate","South Dakota!!Owner-occupied housing units!!Margin of Error","South Dakota!!Percent owner-occupied housing units!!Estimate","South Dakota!!Percent owner-occupied housing units!!Margin of Error","South Dakota!!Renter-occupied housing units!!Estimate","South Dakota!!Renter-occupied housing units!!Margin of Error","South Dakota!!Percent renter-occupied housing units!!Estimate","South Dakota!!Percent renter-occupied housing units!!Margin of Error"
"        $1,500 to $1,999","171,885","±7,079","12.9%","±0.5","140,543","±6,135","14.6%","±0.6","31,342","±3,099","8.3%","±0.8","449,772","±9,754","19.2%","±0.4","312,048","±7,558","18.5%","±0.4","137,724","±7,069","21.0%","±1.0","123,531","±5,350","15.2%","±0.7","85,839","±4,544","15.9%","±0.8","37,692","±2,844","13.7%","±1.0","42,093","±3,352","12.5%","±1.0","32,718","±2,637","15.2%","±1.2","9,375","±1,992","7.6%","±1.6","49,166","±3,578","13.0%","±0.9","39,793","±3,137","15.2%","±1.2","9,373","±1,839","8.1%","±1.6"
"        $2,000 to $2,499","82,676","±4,499","6.2%","±0.3","73,939","±4,070","7.7%","±0.4","8,737","±1,883","2.3%","±0.5","263,969","±8,930","11.3%","±0.4","211,486","±7,598","12.5%","±0.4","52,483","±4,347","8.0%","±0.7","64,914","±3,389","8.0%","±0.4","55,260","±2,889","10.2%","±0.5","9,654","±2,074","3.5%","±0.7","21,270","±2,739","6.3%","±0.8","19,473","±2,853","9.0%","±1.3","1,797","±809","1.5%","±0.7","24,677","±2,148","6.5%","±0.6","22,617","±2,131","8.6%","±0.8","2,060","±778","1.8%","±0.7"
"        $2,500 to $2,999","38,188","±3,314","2.9%","±0.2","36,080","±3,266","3.8%","±0.3","2,108","±821","0.6%","±0.2","137,078","±5,095","5.8%","±0.2","120,795","±4,784","7.2%","±0.3","16,283","±2,365","2.5%","±0.4","29,388","±2,515","3.6%","±0.3","27,682","±2,279","5.1%","±0.4","1,706","±757","0.6%","±0.3","9,237","±1,289","2.7%","±0.4","8,524","±1,195","4.0%","±0.5","713","±620","0.6%","±0.5","11,974","±1,727","3.2%","±0.5","11,868","±1,707","4.5%","±0.6","106","±150","0.1%","±0.1"
"        $3,000 or more","44,978","±3,839","3.4%","±0.3","40,143","±3,522","4.2%","±0.4","4,835","±1,136","1.3%","±0.3","171,909","±5,742","7.3%","±0.2","152,618","±5,186","9.0%","±0.3","19,291","±2,917","2.9%","±0.4","40,401","±2,586","5.0%","±0.3","36,781","±2,376","6.8%","±0.4","3,620","±955","1.3%","±0.4","12,569","±1,837","3.7%","±0.5","11,965","±1,764","5.6%","±0.8","604","±408","0.5%","±0.3","14,105","±1,921","3.7%","±0.5","12,953","±1,710","4.9%","±0.6","1,152","±599","1.0%","±0.5"
"        No cash rent","22,562","±1,837","1.7%","±0.1","(X)","(X)","(X)","(X)","22,562","±1,837","6.0%","±0.5","27,723","±2,305","1.2%","±0.1","(X)","(X)","(X)","(X)","27,723","±2,305","4.2%","±0.3","15,330","±1,925","1.9%","±0.2","(X)","(X)","(X)","(X)","15,330","±1,925","5.6%","±0.7","6,729","±1,189","2.0%","±0.4","(X)","(X)","(X)","(X)","6,729","±1,189","5.5%","±1.0","7,614","±1,198","2.0%","±0.3","(X)","(X)","(X)","(X)","7,614","±1,198","6.6%","±1.0"
"        Median (dollars)","1,012","±10","1,012","±10","1,063","±13","1,063","±13","949","±12","949","±12","1,364","±9","1,364","±9","1,424","±12","1,424","±12","1,264","±19","1,264","±19","1,140","±13","1,140","±13","1,222","±18","1,222","±18","1,042","±19","1,042","±19","972","±21","972","±21","1,053","±38","1,053","±38","916","±25","916","±25","994","±20","994","±20","1,081","±34","1,081","±34","921","±23","921","±23"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000","126,878","±4,852","9.5%","±0.4","54,157","±3,133","5.6%","±0.3","72,721","±4,563","19.3%","±1.1","194,693","±6,678","8.3%","±0.3","83,247","±3,993","4.9%","±0.2","111,446","±5,667","17.0%","±0.8","76,692","±4,118","9.4%","±0.5","28,744","±2,444","5.3%","±0.4","47,948","±3,725","17.5%","±1.3","30,808","±2,602","9.1%","±0.8","11,570","±1,482","5.4%","±0.7","19,238","±2,040","15.7%","±1.6","37,804","±3,015","10.0%","±0.8","14,757","±1,823","5.6%","±0.7","23,047","±2,439","19.9%","±1.9"
"            Less than 20 percent","4,042","±841","0.3%","±0.1","2,714","±643","0.3%","±0.1","1,328","±559","0.4%","±0.1","4,516","±981","0.2%","±0.1","2,237","±431","0.1%","±0.1","2,279","±863","0.3%","±0.1","2,405","±872","0.3%","±0.1","1,123","±408","0.2%","±0.1","1,282","±801","0.5%","±0.3","1,730","±631","0.5%","±0.2","1,251","±517","0.6%","±0.2","479","±385","0.4%","±0.3","1,693","±573","0.4%","±0.2","1,053","±448","0.4%","±0.2","640","±354","0.6%","±0.3"
"            20 to 29 percent","12,381","±1,755","0.9%","±0.1","5,745","±1,167","0.6%","±0.1","6,636","±1,306","1.8%","±0.3","16,960","±2,051","0.7%","±0.1","6,555","±1,060","0.4%","±0.1","10,405","±1,745","1.6%","±0.3","6,681","±1,139","0.8%","±0.1","2,203","±498","0.4%","±0.1","4,478","±1,018","1.6%","±0.4","3,088","±839","0.9%","±0.2","1,549","±573","0.7%","±0.3","1,539","±626","1.3%","±0.5","4,732","±1,049","1.3%","±0.3","1,709","±571","0.7%","±0.2","3,023","±878","2.6%","±0.7"
