"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Percent!!Estimate","Iowa!!Percent!!Margin of Error","Iowa!!Male!!Estimate","Iowa!!Male!!Margin of Error","Iowa!!Percent Male!!Estimate","Iowa!!Percent Male!!Margin of Error","Iowa!!Female!!Estimate","Iowa!!Female!!Margin of Error","Iowa!!Percent Female!!Estimate","Iowa!!Percent Female!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Percent!!Estimate","Minnesota!!Percent!!Margin of Error","Minnesota!!Male!!Estimate","Minnesota!!Male!!Margin of Error","Minnesota!!Percent Male!!Estimate","Minnesota!!Percent Male!!Margin of Error","Minnesota!!Female!!Estimate","Minnesota!!Female!!Margin of Error","Minnesota!!Percent Female!!Estimate","Minnesota!!Percent Female!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Percent!!Estimate","Nebraska!!Percent!!Margin of Error","Nebraska!!Male!!Estimate","Nebraska!!Male!!Margin of Error","Nebraska!!Percent Male!!Estimate","Nebraska!!Percent Male!!Margin of Error","Nebraska!!Female!!Estimate","Nebraska!!Female!!Margin of Error","Nebraska!!Percent Female!!Estimate","Nebraska!!Percent Female!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Percent!!Estimate","North Dakota!!Percent!!Margin of Error","North Dakota!!Male!!Estimate","North Dakota!!Male!!Margin of Error","North Dakota!!Percent Male!!Estimate","North Dakota!!Percent Male!!Margin of Error","North Dakota!!Female!!Estimate","North Dakota!!Female!!Margin of Error","North Dakota!!Percent Female!!Estimate","North Dakota!!Percent Female!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Percent!!Estimate","South Dakota!!Percent!!Margin of Error","South Dakota!!Male!!Estimate","South Dakota!!Male!!Margin of Error","South Dakota!!Percent Male!!Estimate","South Dakota!!Percent Male!!Margin of Error","South Dakota!!Female!!Estimate","South Dakota!!Female!!Margin of Error","South Dakota!!Percent Female!!Estimate","South Dakota!!Percent Female!!Margin of Error"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        5 to 14 years","410,570","±3,117","12.8%","±0.1","208,185","±2,028","13.0%","±0.1","202,385","±2,363","12.6%","±0.1","734,505","±2,968","12.8%","±0.1","375,869","±1,701","13.1%","±0.1","358,636","±2,613","12.5%","±0.1","271,580","±2,373","13.7%","±0.1","139,304","±2,006","14.0%","±0.2","132,276","±1,893","13.4%","±0.2","103,795","±2,412","13.2%","±0.3","53,118","±1,921","13.3%","±0.4","50,677","±1,975","13.2%","±0.5","125,206","±1,498","13.6%","±0.2","65,728","±1,455","14.0%","±0.3","59,478","±1,593","13.2%","±0.3"
"        15 to 17 years","132,914","±1,850","4.1%","±0.1","67,889","±2,236","4.2%","±0.1","65,025","±2,077","4.1%","±0.1","233,475","±1,848","4.1%","±0.1","115,887","±1,555","4.0%","±0.1","117,588","±1,762","4.1%","±0.1","86,515","±1,625","4.4%","±0.1","45,229","±1,789","4.6%","±0.2","41,286","±1,584","4.2%","±0.2","29,317","±1,440","3.7%","±0.2","14,802","±1,141","3.7%","±0.3","14,515","±1,397","3.8%","±0.4","38,715","±1,024","4.2%","±0.1","19,826","±1,305","4.2%","±0.3","18,889","±1,189","4.2%","±0.3"
"        Under 18 years","725,547","±2,501","22.6%","±0.1","369,191","±2,904","23.0%","±0.1","356,356","±3,352","22.2%","±0.2","1,294,975","±2,045","22.6%","±0.1","657,030","±2,672","22.9%","±0.1","637,945","±3,091","22.2%","±0.1","478,594","±1,503","24.2%","±0.1","246,325","±2,796","24.8%","±0.2","232,269","±2,811","23.6%","±0.2","179,600","±2,370","22.9%","±0.3","90,774","±2,687","22.7%","±0.6","88,826","±2,858","23.2%","±0.6","218,807","±1,602","23.8%","±0.2","114,987","±1,974","24.6%","±0.4","103,820","±1,926","23.0%","±0.4"
"        18 to 24 years","315,032","±4,238","9.8%","±0.1","165,041","±2,655","10.3%","±0.2","149,991","±2,837","9.3%","±0.2","501,365","±3,592","8.7%","±0.1","256,677","±2,692","8.9%","±0.1","244,688","±2,256","8.5%","±0.1","192,539","±2,229","9.7%","±0.1","99,002","±1,543","10.0%","±0.2","93,537","±1,530","9.5%","±0.2","84,320","±2,883","10.8%","±0.4","43,524","±1,658","10.9%","±0.4","40,796","±1,940","10.6%","±0.5","84,994","±2,440","9.2%","±0.3","45,322","±1,676","9.7%","±0.4","39,672","±1,911","8.8%","±0.4"
"        15 to 44 years","1,256,985","±4,511","39.2%","±0.1","643,897","±3,949","40.2%","±0.2","613,088","±3,640","38.2%","±0.2","2,259,289","±4,207","39.4%","±0.1","1,146,773","±3,759","40.0%","±0.1","1,112,516","±3,513","38.8%","±0.1","795,382","±3,142","40.2%","±0.2","406,653","±2,452","41.0%","±0.2","388,729","±2,574","39.4%","±0.2","335,173","±3,118","42.8%","±0.4","176,412","±2,502","44.0%","±0.5","158,761","±3,002","41.4%","±0.7","356,951","±2,688","38.8%","±0.3","184,556","±2,401","39.4%","±0.4","172,395","±2,470","38.2%","±0.5"
"        16 years and over","2,570,587","±3,415","80.2%","±0.1","1,279,432","±3,676","79.8%","±0.2","1,291,155","±3,172","80.5%","±0.2","4,602,443","±3,997","80.2%","±0.1","2,290,719","±4,102","79.8%","±0.1","2,311,724","±3,895","80.6%","±0.1","1,558,006","±2,929","78.8%","±0.1","776,175","±2,570","78.2%","±0.3","781,831","±2,629","79.3%","±0.3","622,500","±2,487","79.4%","±0.3","318,428","±2,555","79.5%","±0.6","304,072","±2,326","79.3%","±0.6","725,788","±1,925","78.9%","±0.2","365,674","±2,148","78.1%","±0.4","360,114","±1,833","79.8%","±0.4"
"        18 years and over","2,481,457","±2,501","77.4%","±0.1","1,233,122","±3,258","77.0%","±0.1","1,248,335","±2,603","77.8%","±0.2","4,442,940","±2,045","77.4%","±0.1","2,212,978","±3,300","77.1%","±0.1","2,229,962","±2,544","77.8%","±0.1","1,499,785","±1,503","75.8%","±0.1","746,084","±2,063","75.2%","±0.2","753,701","±1,818","76.4%","±0.2","604,326","±2,370","77.1%","±0.3","309,717","±2,362","77.3%","±0.6","294,609","±1,950","76.8%","±0.6","700,511","±1,602","76.2%","±0.2","353,235","±1,664","75.4%","±0.4","347,276","±1,524","77.0%","±0.4"
"        21 years and over","2,341,800","±5,842","73.0%","±0.2","1,160,018","±5,161","72.4%","±0.3","1,181,782","±3,720","73.6%","±0.3","4,219,096","±6,696","73.5%","±0.1","2,096,435","±5,246","73.0%","±0.1","2,122,661","±4,031","74.0%","±0.2","1,422,995","±3,667","71.9%","±0.2","706,784","±3,183","71.2%","±0.3","716,211","±3,070","72.6%","±0.4","566,822","±3,983","72.3%","±0.5","291,582","±3,295","72.8%","±0.7","275,240","±2,820","71.8%","±0.9","661,415","±2,936","71.9%","±0.3","333,132","±2,317","71.1%","±0.5","328,283","±2,150","72.8%","±0.5"
"        60 years and over","810,697","±5,509","25.3%","±0.2","378,886","±3,363","23.6%","±0.2","431,811","±3,716","26.9%","±0.2","1,412,766","±7,074","24.6%","±0.1","668,224","±4,882","23.3%","±0.2","744,542","±4,471","26.0%","±0.2","467,682","±3,757","23.6%","±0.2","221,186","±2,603","22.3%","±0.3","246,496","±2,610","25.0%","±0.3","182,362","±2,803","23.3%","±0.4","89,119","±1,686","22.3%","±0.4","93,243","±1,853","24.3%","±0.5","228,464","±2,842","24.9%","±0.3","111,426","±1,967","23.8%","±0.4","117,038","±1,905","25.9%","±0.5"
