ZIP,state,far1,far2,far3,far4,gridpop,sqmi,density,fr1pop,fr2pop,fr3pop,fr4pop,pctfr1,pctfr2,pctfr3,pctfr4
01253,MA,0,0,0,0,"1,235",34.6,35.7,0,0,0,0,0.0,0.0,0.0,0.0
01254,MA,0,0,0,0,984,12.0,82.1,0,0,0,0,0.0,0.0,0.0,0.0
01255,MA,0,0,0,0,787,49.3,16.0,0,0,0,0,0.0,0.0,0.0,0.0
01256,MA,0,0,0,0,721,36.7,19.6,0,0,0,0,0.0,0.0,0.0,0.0
01257,MA,0,0,0,0,"2,250",36.7,61.3,0,0,0,0,0.0,0.0,0.0,0.0
01258,MA,0,0,0,0,143,22.4,6.4,15,15,15,15,10.5,10.5,10.5,10.5
01259,MA,0,0,0,0,652,23.0,28.3,0,0,0,0,0.0,0.0,0.0,0.0
01262,MA,0,0,0,0,"1,537",13.2,116.4,0,0,0,0,0.0,0.0,0.0,0.0
01266,MA,0,0,0,0,"1,736",30.0,57.9,0,0,0,0,0.0,0.0,0.0,0.0
01267,MA,0,0,0,0,"8,825",63.3,139.4,0,0,0,0,0.0,0.0,0.0,0.0
01270,MA,0,0,0,0,830,31.8,26.1,0,0,0,0,0.0,0.0,0.0,0.0
01301,MA,0,0,0,0,"18,210",27.1,672.9,41,41,41,41,0.2,0.2,0.2,0.2
01330,MA,0,0,0,0,"1,579",36.6,43.2,0,0,0,0,0.0,0.0,0.0,0.0
01331,MA,0,0,0,0,"12,815",55.4,231.5,0,0,0,0,0.0,0.0,0.0,0.0
01337,MA,0,0,0,0,"2,774",36.8,75.3,103,103,103,103,3.7,3.7,3.7,3.7
01338,MA,0,0,0,0,89,1.3,70.1,0,0,0,0,0.0,0.0,0.0,0.0
01339,MA,0,0,0,0,"1,702",59.9,28.4,4,0,0,0,0.2,0.0,0.0,0.0
01340,MA,0,0,0,0,"2,058",51.9,39.6,239,189,189,189,11.6,9.2,9.2,9.2
01341,MA,0,0,0,0,"1,667",34.3,48.6,0,0,0,0,0.0,0.0,0.0,0.0
01342,MA,0,0,0,0,"1,437",18.5,77.5,0,0,0,0,0.0,0.0,0.0,0.0
01343,MA,0,0,0,0,109,6.2,17.7,0,0,0,0,0.0,0.0,0.0,0.0
01344,MA,0,0,0,0,"1,298",13.6,95.7,0,0,0,0,0.0,0.0,0.0,0.0
01346,MA,0,0,0,0,177,5.9,30.0,0,0,0,0,0.0,0.0,0.0,0.0
01349,MA,0,0,0,0,"1,005",8.6,117.0,0,0,0,0,0.0,0.0,0.0,0.0
01350,MA,1,0,0,0,85,10.7,8.0,52,19,19,19,61.2,22.4,22.4,22.4
01351,MA,0,0,0,0,"2,757",20.2,136.4,0,0,0,0,0.0,0.0,0.0,0.0
01354,MA,0,0,0,0,"1,266",14.6,86.9,0,0,0,0,0.0,0.0,0.0,0.0
01355,MA,0,0,0,0,822,56.6,14.5,0,0,0,0,0.0,0.0,0.0,0.0
01360,MA,0,0,0,0,"2,913",36.1,80.6,0,0,0,0,0.0,0.0,0.0,0.0
01364,MA,0,0,0,0,"7,659",42.7,179.3,0,0,0,0,0.0,0.0,0.0,0.0
01366,MA,0,0,0,0,"1,238",68.3,18.1,0,0,0,0,0.0,0.0,0.0,0.0
01367,MA,1,1,1,1,569,30.3,18.8,379,315,315,315,66.6,55.3,55.3,55.3
01368,MA,0,0,0,0,"1,296",46.1,28.1,0,0,0,0,0.0,0.0,0.0,0.0
01370,MA,0,0,0,0,"4,535",52.5,86.3,15,15,15,15,0.3,0.3,0.3,0.3
01373,MA,0,0,0,0,"4,753",26.3,180.5,0,0,0,0,0.0,0.0,0.0,0.0
01375,MA,0,0,0,0,"3,779",14.7,257.4,0,0,0,0,0.0,0.0,0.0,0.0
01376,MA,0,0,0,0,"4,876",4.9,1003.3,0,0,0,0,0.0,0.0,0.0,0.0
01378,MA,0,0,0,0,772,34.5,22.4,0,0,0,0,0.0,0.0,0.0,0.0
01379,MA,0,0,0,0,923,30.1,30.7,0,0,0,0,0.0,0.0,0.0,0.0
01420,MA,0,0,0,0,"39,084",29.0,1349.6,0,0,0,0,0.0,0.0,0.0,0.0
01430,MA,0,0,0,0,"5,409",38.9,139.1,0,0,0,0,0.0,0.0,0.0,0.0
01431,MA,0,0,0,0,"2,891",24.3,118.9,0,0,0,0,0.0,0.0,0.0,0.0
01432,MA,0,0,0,0,"6,614",9.9,669.4,0,0,0,0,0.0,0.0,0.0,0.0
01434,MA,0,0,0,0,"1,082",5.1,211.7,0,0,0,0,0.0,0.0,0.0,0.0
01436,MA,0,0,0,0,"3,271",12.8,254.8,0,0,0,0,0.0,0.0,0.0,0.0
01440,MA,0,0,0,0,"21,438",27.0,794.3,0,0,0,0,0.0,0.0,0.0,0.0
01450,MA,0,0,0,0,"9,582",33.1,289.5,0,0,0,0,0.0,0.0,0.0,0.0
01451,MA,0,0,0,0,"5,731",21.4,267.9,0,0,0,0,0.0,0.0,0.0,0.0
01452,MA,0,0,0,0,"4,061",41.8,97.2,0,0,0,0,0.0,0.0,0.0,0.0
01453,MA,0,0,0,0,"39,711",28.9,1376.5,0,0,0,0,0.0,0.0,0.0,0.0
01460,MA,0,0,0,0,"8,027",17.6,457.1,0,0,0,0,0.0,0.0,0.0,0.0
01462,MA,0,0,0,0,"10,419",27.2,383.6,0,0,0,0,0.0,0.0,0.0,0.0
01463,MA,0,0,0,0,"10,794",23.5,459.9,0,0,0,0,0.0,0.0,0.0,0.0
01464,MA,0,0,0,0,"6,705",16.0,420.4,0,0,0,0,0.0,0.0,0.0,0.0
01468,MA,0,0,0,0,"2,983",18.7,159.9,0,0,0,0,0.0,0.0,0.0,0.0
01469,MA,0,0,0,0,"7,103",22.3,318.5,0,0,0,0,0.0,0.0,0.0,0.0
01473,MA,0,0,0,0,"6,913",37.4,185.1,0,0,0,0,0.0,0.0,0.0,0.0
01474,MA,0,0,0,0,"2,429",10.4,234.0,0,0,0,0,0.0,0.0,0.0,0.0
01475,MA,0,0,0,0,"9,702",43.1,225.3,0,0,0,0,0.0,0.0,0.0,0.0
01501,MA,0,0,0,0,"14,669",15.1,970.2,0,0,0,0,0.0,0.0,0.0,0.0
01503,MA,0,0,0,0,"2,670",13.1,203.8,0,0,0,0,0.0,0.0,0.0,0.0
01504,MA,0,0,0,0,"8,090",11.2,719.8,0,0,0,0,0.0,0.0,0.0,0.0
01505,MA,0,0,0,0,"4,270",18.9,226.4,0,0,0,0,0.0,0.0,0.0,0.0
01506,MA,0,0,0,0,"3,039",16.7,182.0,0,0,0,0,0.0,0.0,0.0,0.0
01507,MA,0,0,0,0,"11,418",44.1,258.8,0,0,0,0,0.0,0.0,0.0,0.0
01510,MA,0,0,0,0,"12,786",7.4,1737.2,0,0,0,0,0.0,0.0,0.0,0.0
01515,MA,0,0,0,0,"2,223",10.3,215.4,0,0,0,0,0.0,0.0,0.0,0.0
01516,MA,0,0,0,0,"7,148",38.1,187.5,0,0,0,0,0.0,0.0,0.0,0.0
01518,MA,0,0,0,0,"2,445",9.6,255.5,0,0,0,0,0.0,0.0,0.0,0.0
01519,MA,0,0,0,0,"6,591",10.8,608.6,0,0,0,0,0.0,0.0,0.0,0.0
01520,MA,0,0,0,0,"13,098",18.7,700.1,0,0,0,0,0.0,0.0,0.0,0.0
01521,MA,0,0,0,0,"2,325",12.8,181.6,0,0,0,0,0.0,0.0,0.0,0.0
01522,MA,0,0,0,0,"2,914",16.9,172.2,0,0,0,0,0.0,0.0,0.0,0.0
01523,MA,0,0,0,0,"7,824",28.9,270.6,0,0,0,0,0.0,0.0,0.0,0.0
01524,MA,0,0,0,0,"7,174",18.2,394.8,0,0,0,0,0.0,0.0,0.0,0.0
01527,MA,0,0,0,0,"12,606",16.2,779.1,0,0,0,0,0.0,0.0,0.0,0.0
01529,MA,0,0,0,0,"2,387",5.1,469.9,0,0,0,0,0.0,0.0,0.0,0.0
01531,MA,0,0,0,0,"1,170",20.8,56.4,0,0,0,0,0.0,0.0,0.0,0.0
01532,MA,0,0,0,0,"15,271",19.6,779.9,0,0,0,0,0.0,0.0,0.0,0.0
01534,MA,0,0,0,0,"4,355",8.7,502.3,0,0,0,0,0.0,0.0,0.0,0.0
01535,MA,0,0,0,0,"4,713",21.9,215.2,0,0,0,0,0.0,0.0,0.0,0.0
01536,MA,0,0,0,0,"5,722",8.7,660.7,0,0,0,0,0.0,0.0,0.0,0.0
01537,MA,0,0,0,0,"2,051",5.8,353.0,0,0,0,0,0.0,0.0,0.0,0.0
01540,MA,0,0,0,0,"10,863",21.1,515.8,0,0,0,0,0.0,0.0,0.0,0.0
01541,MA,0,0,0,0,"3,379",36.3,93.0,0,0,0,0,0.0,0.0,0.0,0.0
01542,MA,0,0,0,0,"1,803",3.8,472.0,0,0,0,0,0.0,0.0,0.0,0.0
01543,MA,0,0,0,0,"6,299",36.6,171.9,0,0,0,0,0.0,0.0,0.0,0.0
01545,MA,0,0,0,0,"32,164",21.5,1493.2,0,0,0,0,0.0,0.0,0.0,0.0
01550,MA,0,0,0,0,"16,902",20.6,820.5,0,0,0,0,0.0,0.0,0.0,0.0
01560,MA,0,0,0,0,"2,364",3.9,609.3,0,0,0,0,0.0,0.0,0.0,0.0
01562,MA,0,0,0,0,"11,482",34.1,336.6,0,0,0,0,0.0,0.0,0.0,0.0
01564,MA,0,0,0,0,"7,435",31.5,236.0,0,0,0,0,0.0,0.0,0.0,0.0
01566,MA,0,0,0,0,"5,592",29.3,190.7,0,0,0,0,0.0,0.0,0.0,0.0
01568,MA,0,0,0,0,"5,844",20.9,279.3,0,0,0,0,0.0,0.0,0.0,0.0
01569,MA,0,0,0,0,"11,236",29.9,376.3,0,0,0,0,0.0,0.0,0.0,0.0
01570,MA,0,0,0,0,"15,572",14.7,1056.4,0,0,0,0,0.0,0.0,0.0,0.0
01571,MA,0,0,0,0,"10,707",21.9,489.6,0,0,0,0,0.0,0.0,0.0,0.0
01581,MA,0,0,0,0,"17,145",21.2,808.7,0,0,0,0,0.0,0.0,0.0,0.0
01583,MA,0,0,0,0,"6,813",13.9,491.2,0,0,0,0,0.0,0.0,0.0,0.0
01585,MA,0,0,0,0,"6,168",32.5,189.8,0,0,0,0,0.0,0.0,0.0,0.0
01588,MA,0,0,0,0,"8,847",9.9,892.7,0,0,0,0,0.0,0.0,0.0,0.0
01590,MA,0,0,0,0,"8,541",33.9,252.2,0,0,0,0,0.0,0.0,0.0,0.0
01602,MA,0,0,0,0,"22,051",6.3,3478.1,0,0,0,0,0.0,0.0,0.0,0.0
01603,MA,0,0,0,0,"15,191",4.8,3198.1,0,0,0,0,0.0,0.0,0.0,0.0
01604,MA,0,0,0,0,"34,532",6.6,5272.1,0,0,0,0,0.0,0.0,0.0,0.0
01605,MA,0,0,0,0,"20,795",6.3,3316.6,0,0,0,0,0.0,0.0,0.0,0.0
01606,MA,0,0,0,0,"22,117",6.0,3692.3,0,0,0,0,0.0,0.0,0.0,0.0
01607,MA,0,0,0,0,"7,653",3.2,2376.7,0,0,0,0,0.0,0.0,0.0,0.0
01608,MA,0,0,0,0,"3,664",0.5,6785.2,0,0,0,0,0.0,0.0,0.0,0.0
01609,MA,0,0,0,0,"21,270",4.0,5330.8,0,0,0,0,0.0,0.0,0.0,0.0
01610,MA,0,0,0,0,"25,606",2.1,12021.6,0,0,0,0,0.0,0.0,0.0,0.0
01611,MA,0,0,0,0,"1,990",3.8,522.3,0,0,0,0,0.0,0.0,0.0,0.0
01612,MA,0,0,0,0,"4,421",15.4,286.5,0,0,0,0,0.0,0.0,0.0,0.0
01701,MA,0,0,0,0,"28,890",17.6,1644.3,0,0,0,0,0.0,0.0,0.0,0.0
01702,MA,0,0,0,0,"35,865",8.9,4034.3,0,0,0,0,0.0,0.0,0.0,0.0
01718,MA,0,0,0,0,661,0.1,8262.5,0,0,0,0,0.0,0.0,0.0,0.0
01719,MA,0,0,0,0,"4,739",10.5,450.5,0,0,0,0,0.0,0.0,0.0,0.0
01720,MA,0,0,0,0,"19,146",20.4,936.7,0,0,0,0,0.0,0.0,0.0,0.0
01721,MA,0,0,0,0,"14,539",12.9,1126.2,0,0,0,0,0.0,0.0,0.0,0.0
01730,MA,0,0,0,0,"11,861",12.9,920.9,0,0,0,0,0.0,0.0,0.0,0.0
01731,MA,0,0,0,0,"3,540",2.6,1382.8,0,0,0,0,0.0,0.0,0.0,0.0
01740,MA,0,0,0,0,"4,681",20.3,230.6,0,0,0,0,0.0,0.0,0.0,0.0
01741,MA,0,0,0,0,"5,012",15.2,330.8,0,0,0,0,0.0,0.0,0.0,0.0
01742,MA,0,0,0,0,"17,095",25.4,672.5,0,0,0,0,0.0,0.0,0.0,0.0
01745,MA,0,0,0,0,303,0.3,891.2,0,0,0,0,0.0,0.0,0.0,0.0
01746,MA,0,0,0,0,"13,715",19.1,718.8,0,0,0,0,0.0,0.0,0.0,0.0
